T1(0, 249, 2, 249)
T2(0, 249, 2, 249)
T3(0, 249, 2, 249)
T4(0, 374, 3, 374)
T5(0, 499, 4, 499)
T6(0, 499, 4, 499)
T7(0, 624, 5, 624)
T8(0, 624, 5, 624)
T9(0, 749, 6, 749)
T10(0, 749, 6, 749)
T11(0, 749, 6, 749)
T12(0, 874, 7, 874)
T13(0, 874, 7, 874)
T14(0, 999, 8, 999)
T15(0, 999, 8, 999)
T16(0, 999, 8, 999)
T17(0, 1124, 9, 1124)
T18(0, 1499, 12, 1499)
T19(0, 1624, 13, 1624)
T20(0, 1624, 13, 1624)
T21(0, 1624, 13, 1624)
T22(0, 1749, 14, 1749)
T23(0, 1874, 15, 1874)
T24(0, 2124, 17, 2124)
T25(0, 2374, 19, 2374)
T26(0, 2499, 20, 2499)
T27(0, 2624, 21, 2624)
T28(0, 2749, 22, 2749)
T29(0, 2999, 24, 2999)
T30(0, 3124, 25, 3124)
T31(0, 3249, 26, 3249)
T32(0, 3249, 26, 3249)
T33(0, 3249, 26, 3249)
T34(0, 3374, 27, 3374)
T35(0, 3874, 31, 3874)
T36(0, 3874, 31, 3874)
T37(0, 4124, 33, 4124)
T38(0, 4124, 33, 4124)
T39(0, 4124, 33, 4124)
T40(0, 4374, 35, 4374)
T41(0, 4499, 36, 4499)
T42(0, 4624, 37, 4624)
T43(0, 5249, 42, 5249)
T44(0, 5249, 42, 5249)
T45(0, 5249, 42, 5249)
T46(0, 5249, 42, 5249)
T47(0, 5374, 43, 5374)
T48(0, 5374, 43, 5374)
T49(0, 5374, 43, 5374)
T50(0, 5374, 43, 5374)
T51(0, 5624, 45, 5624)
T52(0, 5749, 46, 5749)
T53(0, 5999, 48, 5999)
T54(0, 6374, 51, 6374)
T55(0, 6374, 51, 6374)
T56(0, 6374, 51, 6374)
T57(0, 6499, 52, 6499)
T58(0, 6624, 53, 6624)
T59(0, 6749, 54, 6749)
T60(0, 7124, 57, 7124)
T61(0, 7249, 58, 7249)
T62(0, 7249, 58, 7249)
T63(0, 7499, 60, 7499)
T64(0, 7624, 61, 7624)
T65(0, 7624, 61, 7624)
T66(0, 7749, 62, 7749)
T67(0, 7999, 64, 7999)
T68(0, 7999, 64, 7999)
T69(0, 8124, 65, 8124)
T70(0, 8249, 66, 8249)
T71(0, 8374, 67, 8374)
T72(0, 8374, 67, 8374)
T73(0, 8624, 69, 8624)
T74(0, 8749, 70, 8749)
T75(0, 8749, 70, 8749)
T76(0, 8874, 71, 8874)
T77(0, 9624, 77, 9624)
T78(0, 9749, 78, 9749)
T79(0, 9874, 79, 9874)
T80(0, 10249, 82, 10249)
T81(0, 10374, 83, 10374)
T82(0, 10374, 83, 10374)
T83(0, 10499, 84, 10499)
T84(0, 10624, 85, 10624)
T85(0, 10874, 87, 10874)
T86(0, 10999, 88, 10999)
T87(0, 10999, 88, 10999)
T88(0, 11124, 89, 11124)
T89(0, 11124, 89, 11124)
T90(0, 11499, 92, 11499)
T91(0, 11499, 92, 11499)
T92(0, 11624, 93, 11624)
T93(0, 11624, 93, 11624)
T94(0, 11749, 94, 11749)
T95(0, 11749, 94, 11749)
T96(0, 11874, 95, 11874)
T97(0, 11874, 95, 11874)
T98(0, 11874, 95, 11874)
T99(0, 12124, 97, 12124)
T100(0, 12374, 99, 12374)
